card_name,set_code,card_id,rarity
Splinter Twin,PLST,887a02ed-f872-57c4-b068-c769911bbd5c,rare
Splinter Twin,ROE,82526226-c84f-5167-8fd2-0c559b214e6c,rare
Seething Song,9ED,8ab7927a-be62-5e52-96d6-46c34f42a53d,common
Seething Song,ARC,ec99d259-35ed-57dd-8b30-4d677bbe5117,common
Seething Song,C21,e2bf6898-22af-5d02-bbe7-8cd636f861ca,common
Seething Song,DDG,fbe48d85-8a0a-59c3-b341-7d794f385956,common
Seething Song,MRD,6ad62466-e9c5-522f-9ced-23bcd15861d8,common
Seething Song,PLST,16a16208-ebf2-59c3-bd4e-ad0c01eb4d8b,common
Seething Song,WC04,ce2e8893-137f-5887-b0f2-fe19e960679a,common
Rite of Flame,CSP,af228d13-6d11-5ec4-a0e3-b6b69df2e0b5,common
Rite of Flame,PLST,41cb1192-a5c7-5aa8-b6e8-48bf5fb48696,rare
Rite of Flame,SS3,806c43ba-eebb-5f9f-857b-d1d4f1034ba4,rare
Deathrite Shaman,EA3,64b09f85-64ab-50c3-b347-04c1d30e5213,rare
Deathrite Shaman,EMA,e4762986-08df-5826-ba7d-463a77ba10a6,rare
Deathrite Shaman,GK1,967fef6e-8c63-5f2e-9c95-3794d7517cad,rare
Deathrite Shaman,RTR,407ac6a4-cb3c-54f9-beb0-08e7e5d81c84,rare
Deathrite Shaman,RVR,d22e69ab-e26b-51a9-b47f-c473def282f2,rare
Deathrite Shaman,SLC,42259348-3c12-5d2f-a367-37ec8d40a7d1,rare
Birthing Pod,J20,69082b77-1454-53d2-b9d5-d78ec2a87de6,rare
Birthing Pod,NPH,d0bcc0c4-1735-58d6-8645-900bc9ae3a63,rare
Birthing Pod,SLC,3039b5ab-ce29-5099-9712-c7c7ffb901fb,rare
